actual_tweet,sentiment
Imagine you were born in a poor family in a poor city in a poor country and by the time you were 28 years old y,negative
TIMESMag Sr Cultivation Editor was a featured guest of Ep139 Hear the FULL unedited interview,positive
TIMESMag Sr Cultivation Editor was a featured guest of Ep139 Hear the FULL unedited interview,positive
Just finished season 3 of Narcos it was espectacular Loved every character on itesp Jorge SalcedoI don,positive
No showing off Whats with all the rifles Youre meeting politicians not gangstersArent they the same bos,neutral
In Switzerland we are nobody Pablo What good is having all the money in the world if you cant go home Narcos,positive
The story of Colombian drug lord PabloEscobar is an addiction like the drugs he sells Narcos Netflix,neutral
The guy was a business man Did Colombia take the deal Narcos NarcosDemocracy,neutral
RT amp Follow to WIN season 1 Narcos DVD bundle E2609,positive
The war on drugs started here Diego Luna and Michael Pea star in the brand new trailer for Narcos Mexico,positive
Im not saying they are the same person but have you seen them in the same room at the same time Exactly nhl nhl19,positive
Narcos is building a new empire when it heads to Mexico The fourth season of the drug cartel drama Narcos Mexico d,positive
Great talk w TheDeadDaisies singer John Corabi Hear the FULL unedited convo rock documentary StevenTyler amp,positive
2 days medical leave My body is just not used to relax anymore doing housework instead on heavy medication RIP,negative
Netflix AnuragKashyap sacred games only good if not watched narcos yet creativity limited to reconstruction,positive
TIMESMag Sr Cultivation Editor was a featured guest of Ep139 Hear the FULL unedited intervie,positive
Im not saying they are the same person but have you seen them in the same room at the same time Exactly nhl,positive
Whats the most bingewatch worthy show you can think of In SomethingElse Ep68 Headstones singer Hug,positive
Talked rock documentaries StevenTyler amp RobertPlant BTO BobSeger fronting MotleyCrue legalized marijuana,neutral
Me and my squad are dressing up as the cartel from Cali from narcos and the girls will be cops stay tuned,neutral
Albanias opposition leader Lulzim Basha said on Friday that he wants an indepth investigation into alleged vot,negative
Finished Narcos Season 3 Holy shit its absolutely brilliant,positive
Yesterday narcos actress at the LAMA wearing dress accessories and,neutral
Hear the FULL unedited conversation w rock documentary StevenTyler amp RobertPlant,positive
Ive just watched episode S01E06 of Narcos narcos tvtime,neutral
VictorBlanco Today narcos actress at the LAMA wearing dress accessories and,neutral
miss lorena just seen S02E03 of Narcos narcos tvtime,neutral
FBF That one time I worked with the Great on BloodFather This guy is as an Amazing Actor but I was more,positive
